"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2976870","Olibario J. Machado Neto and Amanda Polin Pereira and Valeria Meirelles C. Elui and Maria da Gra&#231;a  C. Pimentel","","","","Posture Monitoring via Mobile Devices: SmartVest Case Study","55--61","","7","assistive technology, case study, mobile devices, occupational therapy, software architecture","10.1145/2976796.2976870","","","","","","","2016","","Proceedings of the 22Nd Brazilian Symposium on Multimedia and the Web","Webmedia '16","","978-1-4503-4512-5","Teresina, Piau&#237; State, Brazil","ACM","New York, NY, USA"
"article","1148634","Frantz  Degrigny and Thierry  Duval","","","","Utilisation Du Mod\`{e}Le PAC-Amodeus Pour Une R{\'e}Utilisation Optimale De Code Dans Le D{\'e}Veloppement De Plusieurs Versions D'Un Logiciel Commercial","149--156","","8","design patterns, efficient implementation of software architectural models, software architectural models for GUIs, software engineering methods for GUIs","10.1145/1148613.1148634","","","","","","","2004","","Proceedings of the 16th Conference on L'Interaction Homme-Machine","IHM '04","","1-58113-926-8","Namur, Belgium","ACM","New York, NY, USA"
"article","1148567","Nicolas  Martin and Samuel  Degrande and Christophe  Chaillou","","","","Une Utilisation Du Mod\`{e}Le MVC Pour Une Plate-forme De Travail Virtuel","131--138","","8","3D CHI, 3D virtual desktop, MVC, software architecture","10.1145/1148550.1148567","","","","","","","2005","","Proceedings of the 17th Conference on L'Interaction Homme-Machine","IHM '05","","1-59593-192-9","Toulouse, France","ACM","New York, NY, USA"
"article","267438","E. James Whitehead,Jr.","","","","An Architectural Model for Application Integration in Open Hypermedia Environments","1--12","","12","integration, open hypermedia systems, software architecture, third-party applications","10.1145/267437.267438","","","","","","","1997","","Proceedings of the Eighth ACM Conference on Hypertext","HYPERTEXT '97","","0-89791-866-5","Southampton, United Kingdom","ACM","New York, NY, USA"
"article","295676","Du  Li and Zhenghao  Wang and Richard R. Muntz","","","","&Ldquo;Got COCA?&Rdquo; A New Perspective in Building Electronic Meeting Systems","89--98","","10","CSCW, collaboration, electronic meeting systems, groupware, software architecture","10.1145/295666.295676","SIGSOFT Softw. Eng. Notes","March 1999","24","2","","March","1999","0163-5948","","","","","","ACM","New York, NY, USA"
"article","295676","Du  Li and Zhenghao  Wang and Richard R. Muntz","","","","&Ldquo;Got COCA?&Rdquo; A New Perspective in Building Electronic Meeting Systems","89--98","","10","CSCW, collaboration, electronic meeting systems, groupware, software architecture","10.1145/295665.295676","","","","","","","1999","","Proceedings of the International Joint Conference on Work Activities Coordination and Collaboration","WACC '99","","1-58113-070-8","San Francisco, California, USA","ACM","New York, NY, USA"
"article","306375","Tao  Tao and Robert M. Hyatt","","","","Web-based Distributed MIS Application in Health Care","","8","","WD-MIS, design pattern, multi-layered model, software architecture","10.1145/306363.306375","","","","","","","1999","","Proceedings of the 37th Annual Southeast Regional Conference (CD-ROM)","ACM-SE 37","","1-58113-128-3","","ACM","New York, NY, USA"
"article","777023","Renaud  Blanch","","","","Programmer I'Interaction Avec Des Machines &#x00E0; &#x00E9;Tats Hi&#x00E9;Rarchiques","129--136","","8","advanced interaction techniques, hierarchical state machines, software architecture","10.1145/777005.777023","","","","","","","2002","","Proceedings of the 14th Conference on L'Interaction Homme-Machine","IHM '02","","1-58113-615-3","Poitiers, France","ACM","New York, NY, USA"
"article","1639982","Marc Eric Latoschik and Dirk  Reiners and Roland  Blach and Pablo  Figueroa and Raimund  Dachselt","","","","SEARIS: Software Engineering and Architectures for Realtime Interactive Systems","721--722","","2","abstraction, augmented reality, behavior, design patterns, frameworks, interaction, mixed reality, reusability, software architectures, virtual reality","10.1145/1639950.1639982","","","","","","","2009","","Proceedings of the 24th ACM SIGPLAN Conference Companion on Object Oriented Programming Systems Languages and Applications","OOPSLA '09","","978-1-60558-768-4","Orlando, Florida, USA","ACM","New York, NY, USA"
"article","1062634","Stephan  Diehl","","","","Software Visualization","718--719","","2","algorithm animation, program visualization, software architecture, visual debugging","10.1145/1062455.1062634","","","","","","","2005","","Proceedings of the 27th International Conference on Software Engineering","ICSE '05","","1-58113-963-2","St. Louis, MO, USA","ACM","New York, NY, USA"
